사업코드,사업명,공고관리번호,사업구분,국내외구분,발주처,PM부서,발주방법,등록구분,진행상태,PM,대표사,공동도급사,수주일자,계약일자,원화공급가액,원화부가세액,원화합계금액,수금율(%),변경준공일(차수),주관사
A20120095,카자흐스탄 꾸르다이지역 21MW 온실가스저감사업 수주 프로젝트,A120701-03,지원,국내,네오에코즈,에너지환경사업부,수의계약(미사용),본사업,준공,김시헌,㈜수성엔지니어링,㈜수성엔지니어링(100),2012-07-01,2012-06-19,"33,000,000",0,"33,000,000",100.00,2012-11-30,주관사
A20140006,인도네시아 중앙칼리마탄 Muara Juloi 수력발전사업,A007679-01,지원,해외,한국플랜트산업협회,수자원부,설계시공분리발주,본사업,준공,나홍균,,㈜수성엔지니어링(100),2013-12-01,2013-02-05,"250,649,369",0,"250,649,369",100.00,2999-12-31,주관사
A20140026,인도네시아 KERPAP 소수력 발전 타당성 사업,A008368-01,지원,해외,해외건설협회,수자원부,설계시공분리발주,본사업,준공,나홍균,㈜수성엔지니어링,㈜수성엔지니어링(100),2013-07-19,2013-07-19,"61,300,000",0,"61,300,000",50.24,2014-04-06,주관사
A20140035,카자흐스탄 알마티 폐기물에너지화 사업 타당성조사,A008070-01,지원,해외,네오에코즈,에너지환경사업부,일반경쟁(미사용),본사업,준공,하대웅,㈜수성엔지니어링,㈜수성엔지니어링(100),2013-04-01,2013-04-01,"25,600,000",0,"25,600,000",100.00,2013-10-28,비주관사
A20140099,인도네시아 LED 가로등 교체 사업,A009241-01,지원,해외,KOTRA,해외영업부,수의계약(미사용),본사업,준공,김경석,㈜수성엔지니어링,㈜수성엔지니어링(100),2014-08-18,2014-08-11,"24,545,455","2,454,545","27,000,000",100.00,2015-08-10,비주관사
A20140100,미얀마 Mann Chaung Dam 소수력발전 타당성조사(KD파워),A008296-01,지원,해외,KOTRA,수자원부,설계시공분리발주,본사업,준공,나홍균,㈜수성엔지니어링,㈜수성엔지니어링(100),2013-07-01,2013-07-01,"61,057,778",0,"61,057,778",100.00,2014-04-30,주관사
A20140156,미얀마 Wataya교량 F/S  ,A009355-01,지원,해외,한국도로공사 서울경기본부,구조부,기타,본사업,준공,이용우,㈜수성엔지니어링,㈜수성엔지니어링(100),2014-10-01,2014-09-18,"70,115,189",0,"70,115,189",100.00,2015-05-08,주관사
A20150142,인도네시아 반둥~찌르본간 고속철도 2단계 사업,A010461-01,지원,해외,인도네시아 교통부,철도설계부,일반경쟁(미사용),본사업,준공,박종원,㈜수성엔지니어링,㈜수성엔지니어링(100),2015-10-01,2015-09-24,"55,355,646","5,535,565","60,891,211",100.00,2015-12-31,주관사
A20200044,바투미-살피 우회도로 건설 공사,A200118-01,지원,해외,해외건설협회,도로부,기타,본사업,준공,정진황,㈜수성엔지니어링,㈜수성엔지니어링(100),2020-03-09,2020-01-17,0,0,0,0.00,2020-10-31,비주관사
A20200045,실렛-타마빌 고속도로 4차로 확장 개선 사업,A200115-08,지원,해외,해외건설협회,도로부,기타,본사업,준공,정진황,㈜수성엔지니어링,㈜수성엔지니어링(100),2020-03-09,2020-01-17,"2,829,050",0,"2,829,050",100.00,2020-08-27,주관사
