사업코드,사업명,사업구분,국내외구분,발주처,PM부서,발주방법,등록구분,진행상태,공동도급사,계약일자,변경준공일(차수),주관사
R20240001,스마트시티 혁신기술 발굴사업(자율주행 운전패턴 하이브리드형 아스팔트 보강재),감리,국내,국토교통과학기술진흥원,건설사업관리부,설계시공분리발주,본사업,준공,"군산대학교 산학협력단(41.47), 하나 테크(39.28), (주)에스엔건설(9.87), ㈜수성엔지니어링(9.38)",2023-11-20,2024-06-20,비주관사
R20130001,건설용/산업용 열에너지 네트워크 적용 단위시트넴 개발,시공,국내,,에너지환경사업부,,본사업,탈락,㈜수성엔지니어링(100),2013-09-02,2013-12-31,주관사
R20100002,가상 건설시스템 개발,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2010-02-25,2007-10-28,주관사
R20100001,설계정보기반 실내외 공간정보구축 및 활용 기술개발,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2010-02-25,2008-08-26,주관사
R20090001,교통연계 및 환승시스템 기술개발,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2009-02-18,2007-07-31,주관사
R20080012,U-based ECO Space 구축기술,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2008-12-05,2008-12-30,주관사
R20080011,지능형국토정보기술혁신사업/지상고정센서형 모니터링,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2008-11-24,2008-08-26,주관사
R20080010,건설 생산성 향상을 위한 건설자재표준화 ,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2008-11-14,2008-07-28,주관사
R20080009,고속선 선로 구축물 성능향상 및 유지보수기술개발,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2008-11-14,2008-07-30,주관사
R20080008,신에너지 바이모달 수송시스템 개발,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2008-11-14,2007-07-31,주관사
R20080007,도시철도표준화2단계 연구개발 사업,설계,국내,,기술연구소,,본사업,탈락,㈜수성엔지니어링(100),2008-10-30,2009-06-29,주관사
